Galaxy,Rad_kpc,Vobs,errV,Vgas,Vdisk,Vbulge,Rad_meters,V_baryonic_sq,V_baryonic,Accel,Exponent,Nu,V_calculated
NGC1003,9.54,98.3,2.0,29.19,59.81,0.0,2.9440439999999997e+20,2497.584706,49.9758412235352,8.483516910752696e-12,0.21551999492881715,5.157886829179744,113.50004079223129
NGC1003,10.34,98.4,1.7,29.29,56.87,0.0,3.190924e+20,2345.634674,48.431752745487124,7.35095750948628e-12,0.20061876815928348,5.501285534517388,113.59580142478244
NGC1003,11.21,94.5,1.8,30.27,54.18,0.0,3.459406e+20,2266.590204,47.60871983156027,6.5519635567493385e-12,0.18940233979293203,5.795539920299257,114.61288762718281
NGC1003,11.98,94.9,2.4,31.35,52.09,0.0,3.697028e+20,2230.9718260000004,47.23316447158712,6.03450075574218e-12,0.1817691918031328,6.016621445376921,115.85729555079088
NGC1003,12.85,95.3,1.6,32.24,49.97,0.0,3.9655099999999997e+20,2188.038014,46.77646859265885,5.517671154529935e-12,0.1738111007610561,6.2678494286656505,117.10803907481598
NGC1003,13.72,96.9,1.8,32.83,48.07,0.0,4.233992e+20,2140.742354,46.26815701970417,5.056085023306611e-12,0.16638217124868415,6.5241181354528095,118.17976144443405
NGC1003,14.49,97.2,1.3,33.03,46.57,0.0,4.471614e+20,2088.612754,45.701343021841275,4.6708252411769e-12,0.1599176548905993,6.766539056724233,118.88094790298976
NGC1003,15.36,100.0,1.8,33.12,45.03,0.0,4.740096e+20,2029.676814,45.05193463104553,4.281931872265879e-12,0.15311561384601688,7.043767230116004,119.56826932836091
NGC1003,16.13,104.0,2.7,32.83,43.81,0.0,4.9777179999999997e+20,1960.694306,44.279727935026884,3.9389421136352054e-12,0.14685522481669616,7.321660995362215,119.81460271631747
NGC1003,17.0,104.0,3.2,33.52,42.53,0.0,5.2462e+20,1955.6388140000004,44.22260523759314,3.7277244748579935e-12,0.1428635724071978,7.511586216108086,121.20210212256374
NGC1003,17.78,105.0,3.4,32.34,41.49,0.0,5.4869080000000007e+20,1837.7288460000004,42.86873972955119,3.3492977210479925e-12,0.1354180264461467,7.89582262113776,120.4590428061098
NGC1003,18.65,109.0,3.9,31.65,40.42,0.0,5.7553899999999997e+20,1753.259644,41.871943398891815,3.046291639662994e-12,0.12914730339749322,8.253855529818026,120.29610055124888
NGC1003,19.52,110.0,3.8,29.88,39.42,0.0,6.023872e+20,1607.625144,40.09520100959715,2.6687571449061337e-12,0.12087991077281802,8.782744087890798,118.82491417632328
NGC1003,20.29,107.0,3.8,29.39,38.61,0.0,6.261494e+20,1549.5088660000001,39.363801467846066,2.4746631810235705e-12,0.11640125201009426,9.100670801283457,118.75003197109481
NGC1003,21.16,106.0,3.8,29.0,37.75,0.0,6.529976e+20,1496.52875,38.684993860669024,2.2917829253890066e-12,0.11201762046891438,9.436499806615851,118.83599311643785
NGC1003,21.93,106.0,4.0,27.91,37.04,0.0,6.767598e+20,1410.070436,37.550904596294345,2.083561163059625e-12,0.10680774107580035,9.871516212339047,117.98107123396527
NGC1003,22.8,108.0,3.4,27.03,36.29,0.0,7.03608e+20,1336.4243860000001,36.557138646234336,1.89938770735978e-12,0.10197798224841505,10.314534995698311,117.40781957987988
NGC1003,23.67,109.0,3.2,25.65,35.58,0.0,7.304562000000001e+20,1240.253244,35.2172293629127,1.697915965392586e-12,0.09641790687753249,10.879550992838487,116.16108820139107
NGC1003,24.44,110.0,3.3,26.24,34.99,0.0,7.542184e+20,1251.715646,35.37959363814118,1.6596196088560024e-12,0.09532435645003429,10.998440801066204,117.33252077876509
NGC1003,25.31,110.0,2.7,25.85,34.35,0.0,7.810666e+20,1210.9868500000002,34.79923634219579,1.550427133870531e-12,0.09213513645339584,11.361299449954457,117.29613903623206
NGC1003,26.08,110.0,2.4,25.26,33.82,0.0,8.048288e+20,1164.2121040000002,34.120552516042295,1.4465338516713125e-12,0.08899465092968607,11.744045641317921,116.92972284902915
NGC1003,26.95,113.0,2.5,26.83,33.25,0.0,8.31677e+20,1228.40765,35.04864690683508,1.4770249147204986e-12,0.08992770575367695,11.6275364674346,119.51298986825927
NGC1003,27.73,114.0,2.2,30.76,32.76,0.0,8.557478e+20,1439.857696,37.94545685586089,1.6825724775453702e-12,0.09598127032468526,10.926696574468288,125.43081022860771
